,iter,drug,tissue,model,feature,acc,bal_acc,tp,tn,fp,fn,f1,av_prec,roc_auc,pr_auc
0,0,Atezo,BLCA,LR,auslander_common,0.6714285714285714,0.5803571428571428,6,41,15,8,0.34285714285714286,0.4443314835329354,0.6632653061224489,0.4297366180981922
1,1,Atezo,BLCA,LR,auslander_common,0.5857142857142857,0.6071428571428572,9,32,24,5,0.3829787234042553,0.41166995276765356,0.7334183673469388,0.37170918478148224
2,2,Atezo,BLCA,LR,auslander_common,0.6142857142857143,0.5178571428571429,5,38,18,9,0.27027027027027023,0.3080579861122372,0.5905612244897959,0.2710482252328064
3,3,Atezo,BLCA,LR,auslander_common,0.6857142857142857,0.6160714285714286,7,41,15,7,0.3888888888888889,0.28447402801275457,0.5727040816326531,0.24970470330001765
4,4,Atezo,BLCA,LR,auslander_common,0.5714285714285714,0.4375,3,37,19,11,0.16666666666666663,0.19953085495850303,0.4119897959183673,0.17391045163204644
5,5,Atezo,BLCA,LR,auslander_common,0.6714285714285714,0.5803571428571428,6,41,15,8,0.34285714285714286,0.3385932783753459,0.6020408163265306,0.3001057515437668
6,6,Atezo,BLCA,LR,auslander_common,0.6714285714285714,0.6071428571428572,7,40,16,7,0.3783783783783784,0.42969055132109046,0.6989795918367347,0.40787225447024733
7,7,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.5535714285714286,6,38,18,8,0.3157894736842105,0.28386310074226623,0.5854591836734694,0.2479470115423652
8,8,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.6160714285714286,8,37,19,6,0.3902439024390244,0.24313435689949006,0.5676020408163265,0.22077528211018024
9,9,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.5892857142857143,7,38,18,7,0.358974358974359,0.34829630340646245,0.5892857142857142,0.3282028276521487
10,10,Atezo,BLCA,LR,auslander_common,0.7,0.5714285714285714,5,44,12,9,0.3225806451612903,0.3736871446686768,0.6084183673469388,0.36023355630608656
11,11,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.5803571428571428,7,37,19,7,0.35000000000000003,0.2540481530965371,0.5599489795918366,0.2273837397662007
12,12,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.5535714285714286,6,38,18,8,0.3157894736842105,0.24436216983322617,0.5076530612244897,0.21103779392915048
13,13,Atezo,BLCA,LR,auslander_common,0.7285714285714285,0.6428571428571428,7,44,12,7,0.4242424242424242,0.40828984884895936,0.7181122448979592,0.38682908463645593
14,14,Atezo,BLCA,LR,auslander_common,0.6714285714285714,0.6607142857142858,9,38,18,5,0.43902439024390244,0.47980911438724316,0.7002551020408163,0.4639011038464792
15,15,Atezo,BLCA,LR,auslander_common,0.5285714285714286,0.4642857142857143,5,32,24,9,0.23255813953488377,0.22238560636354837,0.5051020408163265,0.19589057914549846
16,16,Atezo,BLCA,LR,auslander_common,0.7,0.6785714285714286,9,40,16,5,0.4615384615384615,0.4394947332390813,0.6938775510204083,0.41756041387521614
17,17,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.5357142857142857,5,40,16,9,0.2857142857142857,0.2155362323483649,0.4885204081632653,0.19403227586101612
18,18,Atezo,BLCA,LR,auslander_common,0.5714285714285714,0.4910714285714286,5,35,21,9,0.25,0.23182379167982223,0.5395408163265306,0.20853734961848
19,19,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.5892857142857143,7,38,18,7,0.358974358974359,0.2899158951662973,0.6339285714285715,0.2550684059078927
20,20,Atezo,BLCA,LR,auslander_common,0.6714285714285714,0.6071428571428572,7,40,16,7,0.3783783783783784,0.408884251007273,0.5778061224489796,0.3943077651682457
21,21,Atezo,BLCA,LR,auslander_common,0.6857142857142857,0.6428571428571428,8,40,16,6,0.4210526315789474,0.524721244819767,0.7704081632653061,0.5083225675315718
22,22,Atezo,BLCA,LR,auslander_common,0.6571428571428571,0.625,8,38,18,6,0.4,0.3194863123238406,0.6760204081632654,0.2832706992468386
23,23,Atezo,BLCA,LR,auslander_common,0.7,0.6785714285714286,9,40,16,5,0.4615384615384615,0.2670279500336464,0.6313775510204082,0.2457416673972585
24,24,Atezo,BLCA,LR,auslander_common,0.6571428571428571,0.5714285714285714,6,40,16,8,0.33333333333333326,0.30055476974291484,0.6441326530612246,0.26913378812714467
25,25,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.48214285714285715,3,42,14,11,0.1935483870967742,0.28603465719397,0.5331632653061225,0.26975854580298564
26,26,Atezo,BLCA,LR,auslander_common,0.6142857142857143,0.5446428571428571,6,37,19,8,0.30769230769230765,0.23048772277039573,0.5586734693877551,0.21001550460456608
27,27,Atezo,BLCA,LR,auslander_common,0.7285714285714285,0.6428571428571428,7,44,12,7,0.4242424242424242,0.35555435673193303,0.6594387755102041,0.3382708490930303
28,28,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.5625,6,39,17,8,0.3243243243243243,0.2106867177109702,0.49617346938775514,0.19037661709650922
29,29,Atezo,BLCA,LR,auslander_common,0.6714285714285714,0.6875,10,37,19,4,0.46511627906976755,0.3291070458927787,0.6900510204081632,0.292106486661151
30,30,Atezo,BLCA,LR,auslander_common,0.5428571428571428,0.4464285714285714,4,34,22,10,0.2,0.2524666150920033,0.4298469387755102,0.2386817538088812
31,31,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.5267857142857143,5,39,17,9,0.2777777777777778,0.2736313120412207,0.5548469387755102,0.23799222664170622
32,32,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.6160714285714286,8,37,19,6,0.3902439024390244,0.4144477877352509,0.6517857142857144,0.3994189841204041
33,33,Atezo,BLCA,LR,auslander_common,0.6142857142857143,0.5982142857142857,8,35,21,6,0.37209302325581395,0.2935034775285508,0.6288265306122449,0.26615562154960565
34,34,Atezo,BLCA,LR,auslander_common,0.6,0.5892857142857142,8,34,22,6,0.36363636363636365,0.3421256110959682,0.6224489795918368,0.3033756605346761
35,35,Atezo,BLCA,LR,auslander_common,0.6857142857142857,0.6160714285714286,7,41,15,7,0.3888888888888889,0.32843096033622815,0.6747448979591837,0.2915466523771058
36,36,Atezo,BLCA,LR,auslander_common,0.5857142857142857,0.5267857142857143,6,35,21,8,0.29268292682926833,0.27950370971321326,0.5739795918367347,0.248397354278523
37,37,Atezo,BLCA,LR,auslander_common,0.5428571428571428,0.5,6,32,24,8,0.27272727272727276,0.3357106275669868,0.5471938775510204,0.2984666441882673
38,38,Atezo,BLCA,LR,auslander_common,0.5857142857142857,0.5,5,36,20,9,0.25641025641025644,0.2823388769974121,0.5318877551020409,0.2512497640398646
39,39,Atezo,BLCA,LR,auslander_common,0.6142857142857143,0.5714285714285714,7,36,20,7,0.3414634146341463,0.30369076042129645,0.5994897959183674,0.27490713929415317
40,40,Atezo,BLCA,LR,auslander_common,0.6142857142857143,0.6517857142857143,10,33,23,4,0.42553191489361697,0.39610482215501885,0.7066326530612245,0.35642109377403325
41,41,Atezo,BLCA,LR,auslander_common,0.6142857142857143,0.5178571428571429,5,38,18,9,0.27027027027027023,0.24402870056742743,0.5548469387755102,0.2160383553200041
42,42,Atezo,BLCA,LR,auslander_common,0.6714285714285714,0.5803571428571428,6,41,15,8,0.34285714285714286,0.3123731181104844,0.6275510204081634,0.2800824132580018
43,43,Atezo,BLCA,LR,auslander_common,0.6857142857142857,0.6428571428571428,8,40,16,6,0.4210526315789474,0.30192529207327407,0.663265306122449,0.27564035615827004
44,44,Atezo,BLCA,LR,auslander_common,0.5571428571428572,0.5357142857142857,7,32,24,7,0.3111111111111111,0.322695173020853,0.6007653061224489,0.2849523163939582
45,45,Atezo,BLCA,LR,auslander_common,0.6142857142857143,0.5446428571428571,6,37,19,8,0.30769230769230765,0.34527637879353723,0.5625,0.3261808192354668
46,46,Atezo,BLCA,LR,auslander_common,0.7,0.5714285714285714,5,44,12,9,0.3225806451612903,0.2901185674576873,0.6160714285714286,0.26192130430011235
47,47,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.5625,6,39,17,8,0.3243243243243243,0.274115935549883,0.5522959183673469,0.24329549643892
48,48,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.5803571428571428,7,37,19,7,0.35000000000000003,0.296575481406411,0.5739795918367347,0.2813498856628268
49,49,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.5803571428571428,7,37,19,7,0.35000000000000003,0.31666421142714973,0.6033163265306123,0.27855342936249616
50,50,Atezo,BLCA,LR,auslander_common,0.5857142857142857,0.5267857142857143,6,35,21,8,0.29268292682926833,0.22673672076007137,0.5153061224489796,0.20258938642153648
51,51,Atezo,BLCA,LR,auslander_common,0.5857142857142857,0.5803571428571428,8,33,23,6,0.35555555555555557,0.2639684678742041,0.5829081632653061,0.23730787156002897
52,52,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.5625,6,39,17,8,0.3243243243243243,0.2990164223878937,0.6428571428571429,0.26336587169285014
53,53,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.5357142857142857,5,40,16,9,0.2857142857142857,0.3331270690862461,0.5637755102040816,0.31404400096213614
54,54,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.5,4,40,16,10,0.23529411764705882,0.24863553233447336,0.5892857142857142,0.22455559213810306
55,55,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.5267857142857143,5,39,17,9,0.2777777777777778,0.21775297355843365,0.5382653061224489,0.1970204830666123
56,56,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.6875,11,33,23,3,0.45833333333333326,0.4081247403629322,0.7244897959183673,0.3869443194278559
57,57,Atezo,BLCA,LR,auslander_common,0.5857142857142857,0.5267857142857143,6,35,21,8,0.29268292682926833,0.2066914426108487,0.4897959183673469,0.18692353368014006
58,58,Atezo,BLCA,LR,auslander_common,0.6142857142857143,0.6517857142857143,10,33,23,4,0.42553191489361697,0.3314329877375418,0.6760204081632653,0.29318120834864314
59,59,Atezo,BLCA,LR,auslander_common,0.7285714285714285,0.7232142857142857,10,41,15,4,0.5128205128205129,0.45865191482460466,0.7895408163265306,0.4362757595695924
60,60,Atezo,BLCA,LR,auslander_common,0.6,0.5357142857142857,6,36,20,8,0.3,0.3113336962172168,0.590561224489796,0.2940530028274907
61,61,Atezo,BLCA,LR,auslander_common,0.6571428571428571,0.5178571428571428,4,42,14,10,0.25,0.17676583676712754,0.4068877551020408,0.16177138467445412
62,62,Atezo,BLCA,LR,auslander_common,0.5714285714285714,0.5178571428571428,6,34,22,8,0.2857142857142857,0.25838884667501527,0.5586734693877551,0.23327092480167885
63,63,Atezo,BLCA,LR,auslander_common,0.5714285714285714,0.5446428571428572,7,33,23,7,0.3181818181818182,0.22814557337549363,0.5637755102040817,0.2067112050854726
64,64,Atezo,BLCA,LR,auslander_common,0.6571428571428571,0.7053571428571428,11,35,21,3,0.4782608695652174,0.35501374404568065,0.697704081632653,0.3218474196088179
65,65,Atezo,BLCA,LR,auslander_common,0.6571428571428571,0.5982142857142857,7,39,17,7,0.3684210526315789,0.2571236984407338,0.6198979591836735,0.23529785108085596
66,66,Atezo,BLCA,LR,auslander_common,0.6571428571428571,0.6517857142857143,9,37,19,5,0.4285714285714286,0.3532462833125978,0.6594387755102041,0.3145057119622126
67,67,Atezo,BLCA,LR,auslander_common,0.7142857142857143,0.6339285714285714,7,43,13,7,0.4117647058823529,0.29321605623227237,0.6505102040816326,0.2670288881573443
68,68,Atezo,BLCA,LR,auslander_common,0.6571428571428571,0.5178571428571428,4,42,14,10,0.25,0.3284568724546153,0.6619897959183673,0.3125028581626216
69,69,Atezo,BLCA,LR,auslander_common,0.5714285714285714,0.5178571428571428,6,34,22,8,0.2857142857142857,0.2912496146304766,0.5778061224489797,0.2550059619142395
70,70,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.5089285714285714,4,41,15,10,0.24242424242424243,0.2460315459705433,0.5408163265306123,0.2178216600152767
71,71,Atezo,BLCA,LR,auslander_common,0.6571428571428571,0.6517857142857143,9,37,19,5,0.4285714285714286,0.26860332361421674,0.5854591836734694,0.2401831729293027
72,72,Atezo,BLCA,LR,auslander_common,0.6857142857142857,0.6160714285714286,7,41,15,7,0.3888888888888889,0.3663298074356048,0.6581632653061225,0.32733456598323557
73,73,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.5803571428571428,7,37,19,7,0.35000000000000003,0.26429966892164575,0.6160714285714286,0.23946572812648578
74,74,Atezo,BLCA,LR,auslander_common,0.6571428571428571,0.5982142857142857,7,39,17,7,0.3684210526315789,0.2198917122760361,0.5561224489795918,0.20369938346280603
75,75,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.6339285714285714,9,35,21,5,0.4090909090909091,0.3997024410474954,0.6747448979591837,0.37835451708656653
76,76,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.5267857142857143,5,39,17,9,0.2777777777777778,0.24352260575039575,0.5688775510204082,0.22041277823546887
77,77,Atezo,BLCA,LR,auslander_common,0.5285714285714286,0.4910714285714286,6,31,25,8,0.26666666666666666,0.2802180261364783,0.514030612244898,0.2642390954306125
78,78,Atezo,BLCA,LR,auslander_common,0.5571428571428572,0.5625,8,31,25,6,0.3404255319148936,0.34951359712268554,0.6326530612244898,0.3110109580543082
79,79,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.5892857142857143,7,38,18,7,0.358974358974359,0.3634122810966129,0.6772959183673469,0.32433020534321094
80,80,Atezo,BLCA,LR,auslander_common,0.6571428571428571,0.5982142857142857,7,39,17,7,0.3684210526315789,0.30765420065496474,0.6760204081632654,0.2766700516739275
81,81,Atezo,BLCA,LR,auslander_common,0.5285714285714286,0.4910714285714286,6,31,25,8,0.26666666666666666,0.2624095873462522,0.48596938775510207,0.2482805700699585
82,82,Atezo,BLCA,LR,auslander_common,0.6142857142857143,0.5982142857142857,8,35,21,6,0.37209302325581395,0.2736929272679578,0.6721938775510204,0.251580029315056
83,83,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.5357142857142857,5,40,16,9,0.2857142857142857,0.24324049401351217,0.5841836734693877,0.22446095788318127
84,84,Atezo,BLCA,LR,auslander_common,0.6571428571428571,0.5714285714285714,6,40,16,8,0.33333333333333326,0.26255182220972506,0.6084183673469388,0.24006168578562043
85,85,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.6071428571428572,8,36,20,6,0.38095238095238093,0.28159766965659494,0.5892857142857142,0.2508901343773896
86,86,Atezo,BLCA,LR,auslander_common,0.5571428571428572,0.5357142857142857,7,32,24,7,0.3111111111111111,0.39100936535693265,0.6607142857142858,0.3697264245508285
87,87,Atezo,BLCA,LR,auslander_common,0.7142857142857143,0.7142857142857143,10,40,16,4,0.5,0.4318492017109652,0.7104591836734693,0.4103445642058442
88,88,Atezo,BLCA,LR,auslander_common,0.6142857142857143,0.49107142857142855,4,39,17,10,0.22857142857142854,0.24194161627955474,0.5306122448979591,0.2098537090321079
89,89,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.5892857142857143,7,38,18,7,0.358974358974359,0.3013098848159325,0.6198979591836735,0.26538750352760493
90,90,Atezo,BLCA,LR,auslander_common,0.5285714285714286,0.5178571428571428,7,30,26,7,0.2978723404255319,0.3726017683703058,0.6186224489795918,0.35929968359948805
91,91,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.6160714285714286,8,37,19,6,0.3902439024390244,0.3003334946398963,0.6772959183673469,0.27403991288442847
92,92,Atezo,BLCA,LR,auslander_common,0.5428571428571428,0.41964285714285715,3,35,21,11,0.15789473684210525,0.1849313788528557,0.4566326530612245,0.16850887114868301
93,93,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.5803571428571428,7,37,19,7,0.35000000000000003,0.35275362258625287,0.590561224489796,0.3328265881735756
94,94,Atezo,BLCA,LR,auslander_common,0.5857142857142857,0.5267857142857143,6,35,21,8,0.29268292682926833,0.37486023963628445,0.6058673469387755,0.36134785381956647
95,95,Atezo,BLCA,LR,auslander_common,0.5714285714285714,0.5178571428571428,6,34,22,8,0.2857142857142857,0.26124438414443424,0.5841836734693877,0.228058349798597
96,96,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.5535714285714286,6,38,18,8,0.3157894736842105,0.24842255761447757,0.5688775510204082,0.22433378646275964
97,97,Atezo,BLCA,LR,auslander_common,0.5142857142857142,0.4821428571428571,6,30,26,8,0.26086956521739124,0.27260458722461567,0.47321428571428564,0.2367748968381133
98,98,Atezo,BLCA,LR,auslander_common,0.6714285714285714,0.6875,10,37,19,4,0.46511627906976755,0.354467587511559,0.653061224489796,0.31595594459801574
99,99,Atezo,BLCA,LR,auslander_common,0.6571428571428571,0.5714285714285714,6,40,16,8,0.33333333333333326,0.39993518537636186,0.6721938775510203,0.3858977296664545
0,0,Atezo,BLCA,LR,auslander_LCC,0.6428571428571429,0.5625,6,39,17,8,0.3243243243243243,0.25983242197409,0.6122448979591837,0.2371312069900497
1,1,Atezo,BLCA,LR,auslander_LCC,0.5857142857142857,0.5535714285714286,7,34,22,7,0.32558139534883723,0.28533367287645484,0.6096938775510204,0.25448499405429426
2,2,Atezo,BLCA,LR,auslander_LCC,0.6428571428571429,0.6160714285714286,8,37,19,6,0.3902439024390244,0.3341606592793633,0.6619897959183674,0.30496107737454836
3,3,Atezo,BLCA,LR,auslander_LCC,0.6714285714285714,0.6339285714285714,8,39,17,6,0.41025641025641024,0.3286956025427653,0.7181122448979591,0.29716570312172436
4,4,Atezo,BLCA,LR,auslander_LCC,0.6142857142857143,0.625,9,34,22,5,0.4,0.34252647850521845,0.701530612244898,0.3139747530946279
5,5,Atezo,BLCA,LR,auslander_LCC,0.6285714285714286,0.5803571428571428,7,37,19,7,0.35000000000000003,0.3281680267698813,0.6364795918367346,0.2955046145901484
6,6,Atezo,BLCA,LR,auslander_LCC,0.6142857142857143,0.5982142857142857,8,35,21,6,0.37209302325581395,0.31820907898391737,0.6670918367346939,0.2859135240777637
7,7,Atezo,BLCA,LR,auslander_LCC,0.6,0.5357142857142857,6,36,20,8,0.3,0.22896580873270078,0.548469387755102,0.20717770033316846
8,8,Atezo,BLCA,LR,auslander_LCC,0.5714285714285714,0.5178571428571428,6,34,22,8,0.2857142857142857,0.2241413780681275,0.5318877551020408,0.2023296484444412
9,9,Atezo,BLCA,LR,auslander_LCC,0.5428571428571428,0.5535714285714286,8,30,26,6,0.3333333333333333,0.22839926980352557,0.538265306122449,0.20290595165282588
10,10,Atezo,BLCA,LR,auslander_LCC,0.6,0.5625,7,35,21,7,0.3333333333333333,0.3077611308966351,0.6301020408163265,0.27059835309776825
11,11,Atezo,BLCA,LR,auslander_LCC,0.5714285714285714,0.5446428571428572,7,33,23,7,0.3181818181818182,0.4116751836329622,0.6262755102040816,0.3968642825964612
12,12,Atezo,BLCA,LR,auslander_LCC,0.5142857142857142,0.4821428571428571,6,30,26,8,0.26086956521739124,0.2357169032668074,0.48214285714285715,0.2097353099360175
13,13,Atezo,BLCA,LR,auslander_LCC,0.6142857142857143,0.5446428571428571,6,37,19,8,0.30769230769230765,0.23957291254095783,0.5956632653061225,0.22062432308483254
14,14,Atezo,BLCA,LR,auslander_LCC,0.6142857142857143,0.625,9,34,22,5,0.4,0.3480163955229788,0.6658163265306122,0.3095718440508119
15,15,Atezo,BLCA,LR,auslander_LCC,0.6,0.5357142857142857,6,36,20,8,0.3,0.2327569147413471,0.5038265306122449,0.20516653848832472
16,16,Atezo,BLCA,LR,auslander_LCC,0.45714285714285713,0.39285714285714285,4,28,28,10,0.17391304347826086,0.199883530126664,0.4770408163265306,0.17945886648536694
17,17,Atezo,BLCA,LR,auslander_LCC,0.6714285714285714,0.5267857142857143,4,43,13,10,0.2580645161290323,0.2533305169633619,0.5943877551020408,0.22917569441792224
18,18,Atezo,BLCA,LR,auslander_LCC,0.6142857142857143,0.5982142857142857,8,35,21,6,0.37209302325581395,0.25855671909531863,0.5829081632653061,0.23247451573301517
19,19,Atezo,BLCA,LR,auslander_LCC,0.5714285714285714,0.5714285714285714,8,32,24,6,0.34782608695652173,0.3129374698662247,0.6301020408163265,0.280976113072338
20,20,Atezo,BLCA,LR,auslander_LCC,0.6714285714285714,0.6339285714285714,8,39,17,6,0.41025641025641024,0.3262028057332057,0.6364795918367347,0.30948601711540924
21,21,Atezo,BLCA,LR,auslander_LCC,0.5285714285714286,0.4642857142857143,5,32,24,9,0.23255813953488377,0.22792741673005257,0.528061224489796,0.2015598201056304
22,22,Atezo,BLCA,LR,auslander_LCC,0.6285714285714286,0.5803571428571428,7,37,19,7,0.35000000000000003,0.4276133756653717,0.6186224489795918,0.4133722167754904
23,23,Atezo,BLCA,LR,auslander_LCC,0.6428571428571429,0.5357142857142857,5,40,16,9,0.2857142857142857,0.22945004669997462,0.5369897959183674,0.20345155275679816
24,24,Atezo,BLCA,LR,auslander_LCC,0.5285714285714286,0.4642857142857143,5,32,24,9,0.23255813953488377,0.24969158850107576,0.5191326530612246,0.21557421774209604
25,25,Atezo,BLCA,LR,auslander_LCC,0.6571428571428571,0.6785714285714286,10,36,20,4,0.4545454545454545,0.29937734494253876,0.6607142857142857,0.26989497069135754
26,26,Atezo,BLCA,LR,auslander_LCC,0.6285714285714286,0.6071428571428572,8,36,20,6,0.38095238095238093,0.26571977726937535,0.6173469387755103,0.24222474677824482
27,27,Atezo,BLCA,LR,auslander_LCC,0.5857142857142857,0.5535714285714286,7,34,22,7,0.32558139534883723,0.3730735141449427,0.5982142857142857,0.3527293072895906
28,28,Atezo,BLCA,LR,auslander_LCC,0.5428571428571428,0.5267857142857143,7,31,25,7,0.30434782608695654,0.22220670096563172,0.5331632653061225,0.20180246696464596
29,29,Atezo,BLCA,LR,auslander_LCC,0.5571428571428572,0.45535714285714285,4,35,21,10,0.20512820512820512,0.1939720649835283,0.49489795918367346,0.17869594823640353
30,30,Atezo,BLCA,LR,auslander_LCC,0.6285714285714286,0.6071428571428572,8,36,20,6,0.38095238095238093,0.2935847241759249,0.6658163265306123,0.2679352734094451
31,31,Atezo,BLCA,LR,auslander_LCC,0.6285714285714286,0.5803571428571428,7,37,19,7,0.35000000000000003,0.2644084109357248,0.6033163265306123,0.23812472913975488
32,32,Atezo,BLCA,LR,auslander_LCC,0.6714285714285714,0.6339285714285714,8,39,17,6,0.41025641025641024,0.2583980594396003,0.5867346938775511,0.23433918156395336
33,33,Atezo,BLCA,LR,auslander_LCC,0.6857142857142857,0.6696428571428572,9,39,17,5,0.45,0.2882625180251754,0.6301020408163266,0.26063230291250256
34,34,Atezo,BLCA,LR,auslander_LCC,0.6142857142857143,0.5714285714285714,7,36,20,7,0.3414634146341463,0.2975507918910602,0.6645408163265307,0.26956391673010816
35,35,Atezo,BLCA,LR,auslander_LCC,0.6285714285714286,0.6071428571428572,8,36,20,6,0.38095238095238093,0.25484125143849873,0.5994897959183674,0.22984276998703232
36,36,Atezo,BLCA,LR,auslander_LCC,0.6428571428571429,0.6160714285714286,8,37,19,6,0.3902439024390244,0.372930405542667,0.625,0.35259293524870794
37,37,Atezo,BLCA,LR,auslander_LCC,0.5714285714285714,0.5446428571428572,7,33,23,7,0.3181818181818182,0.2460023656784926,0.4783163265306123,0.21180240977428802
38,38,Atezo,BLCA,LR,auslander_LCC,0.6285714285714286,0.6071428571428572,8,36,20,6,0.38095238095238093,0.36822042964849977,0.6632653061224489,0.3292129922478773
39,39,Atezo,BLCA,LR,auslander_LCC,0.7,0.6785714285714286,9,40,16,5,0.4615384615384615,0.3483388768226292,0.6887755102040816,0.31577075783729486
40,40,Atezo,BLCA,LR,auslander_LCC,0.6428571428571429,0.6160714285714286,8,37,19,6,0.3902439024390244,0.2928495223545462,0.6556122448979591,0.26741268252826256
41,41,Atezo,BLCA,LR,auslander_LCC,0.6714285714285714,0.5535714285714286,5,42,14,9,0.30303030303030304,0.2718741397724435,0.5867346938775511,0.24456481329949428
42,42,Atezo,BLCA,LR,auslander_LCC,0.5285714285714286,0.4910714285714286,6,31,25,8,0.26666666666666666,0.285002497384759,0.6033163265306123,0.24990391916988822
43,43,Atezo,BLCA,LR,auslander_LCC,0.5714285714285714,0.5178571428571428,6,34,22,8,0.2857142857142857,0.20733773712277126,0.49107142857142855,0.187742024763023
